episode,cumulative_reward,mean_acc_waiting_time
0,-185.0,7.161919874985711
1,-882.0,7.782797213251395
2,-605.0,7.78818335736161
3,-58.0,8.714852345670904
4,-319.0,9.90498654041231
5,-27.0,8.443453258386928
6,-397.0,7.900529927311717
7,-155.0,7.868952084896377
8,-309.0,8.221543825625028
9,-108.0,7.607618845227277
10,-151.0,8.955517037724846
11,-41.0,7.388058557549769
12,-72.0,8.05409285002088
13,-34.0,8.05386212126084
14,-86.0,6.475524473652225
15,-448.0,7.873973043992795
16,-311.0,6.8073608317096665
17,-233.0,7.972616208482008
18,-420.0,7.694560413569082
19,-1286.0,7.54557170950096
20,-71.0,7.3669556099904145
21,-153.0,8.391923752157007
22,-759.0,9.05855003454844
23,-197.0,9.769514531213447
24,-106.0,9.406235043106431
25,-381.0,7.507088117637936
26,-986.0,8.654625191919086
27,-108.0,7.196254205679512
28,-120.0,7.678417091503843
29,-1849.0,6.986064888515032
30,-1591.0,8.379541755831596
31,-68.0,7.459684321347771
32,-264.0,9.577648280385715
33,-145.0,9.747093304804398
34,-35.0,7.910283745933751
35,-123.0,8.150953713264155
36,-184.0,7.884280941645104
37,-745.0,9.011241298341588
38,-373.0,9.275003999338637
39,-497.0,8.449236475843056
40,-255.0,7.429066369330699
41,-376.0,8.783074099726829
42,-371.0,7.950672564036113
43,-213.0,7.950928215368124
44,-254.0,8.168247451873672
45,-2103.0,8.492054113780245
46,-759.0,8.982919624128243
47,-208.0,8.380374968245446
48,-698.0,7.386134690375482
49,-173.0,7.983226032652999
50,-33.0,6.889515481525238
51,-92.0,7.256072254844068
52,-74.0,9.160325147559465
53,-55.0,7.076713538399332
54,-193.0,9.445859577594295
55,-94.0,8.161458973593689
56,-800.0,7.547407120796287
57,-728.0,7.283642687336219
58,-337.0,8.217761086523437
59,-112.0,7.396290257465822
60,-17.0,7.964143454971428
61,-678.0,8.068655593220022
62,-89.0,7.827971100882966
63,-316.0,6.425832420876664
64,-328.0,7.441263510838332
65,-129.0,7.803478897690118
66,-118.0,6.8385138619212995
67,-161.0,8.813759170581008
68,-157.0,11.11415510042698
69,-466.0,8.000150546218038
70,-199.0,7.80668031427648
71,-147.0,8.093222829459958
72,-1037.0,7.421444291465022
73,-81.0,6.543219599373031
74,-203.0,6.507477429267873
75,-308.0,9.846050078870682
76,-623.0,6.92480017071029
77,-31.0,7.342973729254185
78,-6764.0,9.025661875287673
79,-459.0,7.344679268721118
80,-1429.0,7.376127412593919
81,-53.0,7.808998450510875
82,-497.0,8.596608543185882
83,-227.0,9.010400775649194
84,-131.0,7.891098192875885
85,-942.0,7.9337442805225
86,-220.0,8.073593185091877
87,-123.0,8.679789770464577
88,-302.0,7.128360630959654
89,-122.0,7.409697255698825
90,-231.0,7.931083217035023
91,-226.0,7.274027579592204
92,-155.0,8.128714228554273
93,-613.0,7.952701473471065
94,-26.0,9.69986759965145
95,-376.0,8.465144846614232
96,-450.0,6.872217077042872
97,-743.0,7.574995990615629
98,-167.0,8.911020176076736
99,-324.0,7.706737165435467
