number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_fraction,params_layer,params_target_update_interval,state
0,-375.0,2024-07-26 04:18:48.314994,2024-07-26 04:54:15.830285,0 days 00:35:27.515291,32,1000000,0.5801808930035376,64,1000,COMPLETE
1,-12732.3330078125,2024-07-26 04:54:15.830995,2024-07-26 05:28:16.784099,0 days 00:34:00.953104,64,100000,0.13673504341039236,32,10000,COMPLETE
2,-10761.8330078125,2024-07-26 05:28:16.785007,2024-07-26 06:04:56.387099,0 days 00:36:39.602092,64,500000,0.12318374427181014,64,10000,COMPLETE
3,-7122.33349609375,2024-07-26 06:04:56.387802,2024-07-26 06:38:52.716077,0 days 00:33:56.328275,64,500000,0.18902142646582046,32,5000,COMPLETE
4,-6371.16650390625,2024-07-26 06:38:52.716760,2024-07-26 07:11:56.873451,0 days 00:33:04.156691,32,100000,0.23311633233412357,32,1000,COMPLETE
5,-2961.666748046875,2024-07-26 07:11:56.874228,2024-07-26 07:46:12.405290,0 days 00:34:15.531062,64,500000,0.2895164402920485,128,5000,COMPLETE
6,-10350.3330078125,2024-07-26 07:46:12.406098,2024-07-26 08:23:01.298240,0 days 00:36:48.892142,64,100000,0.2844715557924091,64,1000,COMPLETE
7,-580.6666870117188,2024-07-26 08:23:01.299103,2024-07-26 08:56:38.665306,0 days 00:33:37.366203,32,1000000,0.138535451329687,128,1000,COMPLETE
8,-591.0,2024-07-26 08:56:38.666030,2024-07-26 09:30:35.884619,0 days 00:33:57.218589,32,1000000,0.4182892201681856,32,5000,COMPLETE
9,-195.5,2024-07-26 09:30:35.886269,2024-07-26 10:04:31.886496,0 days 00:33:56.000227,64,500000,0.40088521490348694,32,10000,COMPLETE
10,-610.6666870117188,2024-07-26 23:30:10.933068,2024-07-27 00:05:35.613847,0 days 00:35:24.680779,64,500000,0.4322869611624071,32,10000,COMPLETE
11,-353.8333435058594,2024-07-27 00:05:35.614717,2024-07-27 00:40:27.066389,0 days 00:34:51.451672,32,1000000,0.5666400711093516,64,1000,COMPLETE
12,-2743.833251953125,2024-07-27 00:40:27.067197,2024-07-27 01:15:43.230301,0 days 00:35:16.163104,32,1000000,0.5933027671563411,64,10000,COMPLETE
13,-591.5,2024-07-27 01:15:43.231250,2024-07-27 01:52:18.286659,0 days 00:36:35.055409,32,500000,0.4836670468830282,64,1000,COMPLETE
14,-815.8333129882812,2024-07-27 01:52:18.287398,2024-07-27 02:28:21.005276,0 days 00:36:02.717878,64,1000000,0.5092475236926389,128,10000,COMPLETE
