number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_learning_rate,state
0,-209.89999389648438,2024-07-28 05:48:48.172909,2024-07-28 06:38:04.513642,0 days 00:49:16.340733,32,1000000,0.003934789113433023,COMPLETE
1,-254.1999969482422,2024-07-28 06:38:04.515466,2024-07-28 07:28:02.998412,0 days 00:49:58.482946,64,1000000,0.006731976423749329,COMPLETE
2,-280.5,2024-07-28 07:28:03.010051,2024-07-28 08:17:44.945850,0 days 00:49:41.935799,32,1000000,0.004906355493104171,COMPLETE
3,-172.0,2024-07-28 08:17:44.947835,2024-07-28 09:07:13.027061,0 days 00:49:28.079226,64,500000,0.001857416713360711,COMPLETE
4,-366.79998779296875,2024-07-28 09:07:13.028870,2024-07-28 09:56:53.425281,0 days 00:49:40.396411,64,500000,0.008980130541030647,COMPLETE
5,-224.3000030517578,2024-07-28 14:11:29.972789,2024-07-28 15:02:56.904840,0 days 00:51:26.932051,32,500000,0.002221967669836006,COMPLETE
6,-481.29998779296875,2024-07-28 15:02:56.906884,2024-07-28 15:54:01.235486,0 days 00:51:04.328602,32,1000000,0.008552692752504486,COMPLETE
7,-355.6000061035156,2024-07-28 15:54:01.237464,2024-07-28 16:46:56.517410,0 days 00:52:55.279946,32,500000,0.008568176682784468,COMPLETE
8,-234.6999969482422,2024-07-28 16:46:56.520368,2024-07-28 17:38:56.910542,0 days 00:52:00.390174,64,500000,0.008474126791683544,COMPLETE
9,-172.39999389648438,2024-07-28 17:38:56.912470,2024-07-28 18:28:40.352767,0 days 00:49:43.440297,64,1000000,0.005949104946174923,COMPLETE
