params,episode,cumulative_reward,mean_waiting_time
"start_epsilon:1,decay_rate:0.02",0,-3065.0,20.598944423904317
"start_epsilon:1,decay_rate:0.02",1,-5476.0,19.771760682313168
"start_epsilon:1,decay_rate:0.02",2,5980.0,19.033071328110758
"start_epsilon:1,decay_rate:0.02",3,712.0,19.78469412993706
"start_epsilon:1,decay_rate:0.02",4,-51.0,18.098741187188658
"start_epsilon:1,decay_rate:0.02",5,-1022.0,17.214130608210684
"start_epsilon:1,decay_rate:0.02",6,1623.0,17.5890089690294
"start_epsilon:1,decay_rate:0.02",7,48.0,16.83062559729641
"start_epsilon:1,decay_rate:0.02",8,-2767.0,17.510018975810898
"start_epsilon:1,decay_rate:0.02",9,2903.0,16.111617907440618
"start_epsilon:1,decay_rate:0.02",10,-1841.0,16.559000006143734
"start_epsilon:1,decay_rate:0.02",11,2461.0,14.825895341309302
"start_epsilon:1,decay_rate:0.02",12,-1803.0,14.992741343943079
"start_epsilon:1,decay_rate:0.02",13,-1534.0,14.987859561956663
"start_epsilon:1,decay_rate:0.02",14,1343.0,14.948010752930932
"start_epsilon:1,decay_rate:0.02",15,-703.0,14.95383768232783
"start_epsilon:1,decay_rate:0.02",16,-1887.0,14.507557789705617
"start_epsilon:1,decay_rate:0.02",17,-2282.0,14.197646572425445
"start_epsilon:1,decay_rate:0.02",18,6268.0,13.915227245134705
"start_epsilon:1,decay_rate:0.02",19,-1707.0,13.096578491664655
"start_epsilon:1,decay_rate:0.02",20,1301.0,13.501229331061397
"start_epsilon:1,decay_rate:0.02",21,-4353.0,12.919820174039307
"start_epsilon:1,decay_rate:0.02",22,1914.0,12.848081820379543
"start_epsilon:1,decay_rate:0.02",23,3516.0,12.478707643744013
"start_epsilon:1,decay_rate:0.02",24,-1976.0,12.125505670077628
"start_epsilon:1,decay_rate:0.02",25,-581.0,12.079505842624577
"start_epsilon:1,decay_rate:0.02",26,1691.0,11.921262609666265
"start_epsilon:1,decay_rate:0.02",27,-1903.0,12.010454851998308
"start_epsilon:1,decay_rate:0.02",28,872.0,11.859604374966514
"start_epsilon:1,decay_rate:0.02",29,-882.0,11.252662695131791
"start_epsilon:1,decay_rate:0.02",30,222.0,11.630108093294858
"start_epsilon:1,decay_rate:0.02",31,1369.0,11.150590675797725
"start_epsilon:1,decay_rate:0.02",32,-1773.0,11.32192734987457
"start_epsilon:1,decay_rate:0.02",33,2028.0,11.28403625419891
"start_epsilon:1,decay_rate:0.02",34,-57.0,10.825821849681445
"start_epsilon:1,decay_rate:0.02",35,-1144.0,10.289587149931476
"start_epsilon:1,decay_rate:0.02",36,1476.0,10.317778038044846
"start_epsilon:1,decay_rate:0.02",37,-373.0,10.505743093661444
"start_epsilon:1,decay_rate:0.02",38,191.0,10.594274246042076
"start_epsilon:1,decay_rate:0.02",39,228.0,10.139165825801818
"start_epsilon:1,decay_rate:0.02",40,44.0,9.8725683116089
"start_epsilon:1,decay_rate:0.02",41,577.0,9.974583085099928
"start_epsilon:1,decay_rate:0.02",42,-130.0,9.702291138782888
"start_epsilon:1,decay_rate:0.02",43,186.0,9.568931910031766
"start_epsilon:1,decay_rate:0.02",44,214.0,8.40848118668014
"start_epsilon:1,decay_rate:0.02",45,-1737.0,8.08472153210077
"start_epsilon:1,decay_rate:0.02",46,1543.0,8.147130708718919
"start_epsilon:1,decay_rate:0.02",47,-1455.0,8.475697046745486
"start_epsilon:1,decay_rate:0.02",48,889.0,8.780513577963779
"start_epsilon:1,decay_rate:0.02",49,639.0,6.607950851004263
"start_epsilon:1,decay_rate:0.02",50,-758.0,7.156070676877798
"start_epsilon:1,decay_rate:0.02",51,640.0,6.657173038846636
"start_epsilon:1,decay_rate:0.02",52,82.0,7.15787901220119
"start_epsilon:1,decay_rate:0.02",53,-1208.0,6.120528354217112
"start_epsilon:1,decay_rate:0.02",54,1145.0,6.457725472804024
"start_epsilon:1,decay_rate:0.02",55,316.0,6.2166708688094054
"start_epsilon:1,decay_rate:0.02",56,-645.0,5.976033737902329
"start_epsilon:1,decay_rate:0.02",57,-369.0,5.969185313451891
"start_epsilon:1,decay_rate:0.02",58,-171.0,5.921457109543355
"start_epsilon:1,decay_rate:0.02",59,1078.0,6.08008059954686
"start_epsilon:1,decay_rate:0.02",60,-222.0,6.438954281152847
"start_epsilon:1,decay_rate:0.02",61,171.0,4.776190386471008
"start_epsilon:1,decay_rate:0.02",62,-1700.0,6.829753017268478
"start_epsilon:1,decay_rate:0.02",63,1533.0,5.011137300412788
"start_epsilon:1,decay_rate:0.02",64,-770.0,5.447003280414888
"start_epsilon:1,decay_rate:0.02",65,1018.0,4.734111556858863
"start_epsilon:1,decay_rate:0.02",66,-150.0,4.838356959647185
"start_epsilon:1,decay_rate:0.02",67,263.0,5.4726312141760145
"start_epsilon:1,decay_rate:0.02",68,-71.0,5.574627817523896
"start_epsilon:1,decay_rate:0.02",69,28.0,4.64884355248619
"start_epsilon:1,decay_rate:0.02",70,-61.0,4.724462153641865
"start_epsilon:1,decay_rate:0.02",71,-509.0,4.890134133076027
"start_epsilon:1,decay_rate:0.02",72,405.0,4.8209006695079415
"start_epsilon:1,decay_rate:0.02",73,-34.0,4.471333191574035
"start_epsilon:1,decay_rate:0.02",74,101.0,4.355691601644189
"start_epsilon:1,decay_rate:0.02",75,110.0,4.0506729458619235
"start_epsilon:1,decay_rate:0.02",76,-177.0,4.120232981458115
"start_epsilon:1,decay_rate:0.02",77,175.0,3.574014769057085
"start_epsilon:1,decay_rate:0.02",78,-473.0,4.513902916548353
"start_epsilon:1,decay_rate:0.02",79,472.0,4.0244397999359975
"start_epsilon:1,decay_rate:0.02",80,-562.0,4.195424775953707
"start_epsilon:1,decay_rate:0.02",81,487.0,3.772283447889395
"start_epsilon:1,decay_rate:0.02",82,-974.0,3.8045229696382448
"start_epsilon:1,decay_rate:0.02",83,1011.0,3.8201454900864174
"start_epsilon:1,decay_rate:0.02",84,67.0,3.6984934737934045
"start_epsilon:1,decay_rate:0.02",85,-127.0,3.410905620589829
"start_epsilon:1,decay_rate:0.02",86,132.0,3.662793140986373
"start_epsilon:1,decay_rate:0.02",87,-198.0,3.3237618516845298
"start_epsilon:1,decay_rate:0.02",88,188.0,3.2414650831893446
"start_epsilon:1,decay_rate:0.02",89,-153.0,3.1363658720789496
"start_epsilon:1,decay_rate:0.02",90,61.0,3.2968052482175825
"start_epsilon:1,decay_rate:0.02",91,-98.0,3.355802198028266
"start_epsilon:1,decay_rate:0.02",92,163.0,3.2520400097775353
"start_epsilon:1,decay_rate:0.02",93,-96.0,2.9370890214723318
"start_epsilon:1,decay_rate:0.02",94,114.0,2.831629220282563
"start_epsilon:1,decay_rate:0.02",95,-49.0,2.9264199906969526
"start_epsilon:1,decay_rate:0.02",96,-168.0,2.9576108122718283
"start_epsilon:1,decay_rate:0.02",97,184.0,2.908506123348901
"start_epsilon:1,decay_rate:0.02",98,54.0,3.11140010931134
