params,episode,cumulative_reward,mean_waiting_time
learning_rate:0.1,0,-4771.0,20.218321388153317
learning_rate:0.1,1,1666.0,19.388947620239218
learning_rate:0.1,2,-436.0,18.812257766680304
learning_rate:0.1,3,-759.0,19.064757925412565
learning_rate:0.1,4,-848.0,19.825109274642188
learning_rate:0.1,5,3558.0,18.12035755486448
learning_rate:0.1,6,-8331.0,17.476249018344316
learning_rate:0.1,7,4381.0,16.55651841021651
learning_rate:0.1,8,3782.0,16.738965249044703
learning_rate:0.1,9,-286.0,16.085454189181746
learning_rate:0.1,10,-215.0,15.763064467487386
learning_rate:0.1,11,-2445.0,16.390980647051478
learning_rate:0.1,12,2391.0,15.138155419286445
learning_rate:0.1,13,-5102.0,14.950723337872727
learning_rate:0.1,14,6914.0,14.85354547605468
learning_rate:0.1,15,-2655.0,14.694621937924595
learning_rate:0.1,16,-573.0,14.925697369320126
learning_rate:0.1,17,3087.0,13.738738426813487
learning_rate:0.1,18,-865.0,14.082069542702536
learning_rate:0.1,19,-776.0,13.3302643021035
learning_rate:0.1,20,-2256.0,13.597946388314812
learning_rate:0.1,21,2579.0,13.73239175975901
learning_rate:0.1,22,-508.0,13.265180751309464
learning_rate:0.1,23,825.0,12.632180104160183
learning_rate:0.1,24,-1709.0,12.734537442206232
learning_rate:0.1,25,640.0,12.667698266748294
learning_rate:0.1,26,-817.0,12.729733861298778
learning_rate:0.1,27,1220.0,11.88291169023205
learning_rate:0.1,28,-1318.0,11.946720678049344
learning_rate:0.1,29,2285.0,11.679377605474214
learning_rate:0.1,30,3.0,11.887848851191425
learning_rate:0.1,31,-1111.0,11.346321445717738
learning_rate:0.1,32,-1143.0,10.732984760463552
learning_rate:0.1,33,2468.0,11.096186910205494
learning_rate:0.1,34,-2169.0,11.214618680619816
learning_rate:0.1,35,1655.0,10.595977060453668
learning_rate:0.1,36,422.0,10.668324176123775
learning_rate:0.1,37,716.0,10.559968431313976
learning_rate:0.1,38,-807.0,9.92400379621912
learning_rate:0.1,39,405.0,9.412256074202276
learning_rate:0.1,40,194.0,9.572924223116932
learning_rate:0.1,41,-302.0,9.540829138049743
learning_rate:0.1,42,27.0,9.0205184409455
learning_rate:0.1,43,-235.0,8.866223517406048
learning_rate:0.1,44,816.0,9.595007993280898
learning_rate:0.1,45,81.0,8.461333420560843
learning_rate:0.1,46,-1678.0,8.730967868632515
learning_rate:0.1,47,1225.0,8.988747940739545
learning_rate:0.1,48,154.0,7.539930479495436
learning_rate:0.1,49,73.0,7.983544949390718
learning_rate:0.1,50,463.0,7.374211571263322
learning_rate:0.1,51,-183.0,6.976032072240624
learning_rate:0.1,52,-96.0,6.979286354000943
learning_rate:0.1,53,209.0,6.131994898288061
learning_rate:0.1,54,-300.0,7.519318270210915
learning_rate:0.1,55,153.0,6.345694926605282
learning_rate:0.1,56,75.0,5.772160364569739
learning_rate:0.1,57,-559.0,5.5864560003789325
learning_rate:0.1,58,699.0,6.383688288903216
learning_rate:0.1,59,-192.0,5.275973595879088
learning_rate:0.1,60,216.0,6.889386779576698
learning_rate:0.1,61,-290.0,5.370958795032874
learning_rate:0.1,62,44.0,5.14836887301126
learning_rate:0.1,63,25.0,4.905134971605856
learning_rate:0.1,64,-30.0,4.751680668685585
learning_rate:0.1,65,11.0,4.406591336737535
learning_rate:0.1,66,21.0,5.0993967928687205
learning_rate:0.1,67,-416.0,5.0933601361372265
learning_rate:0.1,68,411.0,5.472073600357673
learning_rate:0.1,69,248.0,4.98073529542945
learning_rate:0.1,70,-420.0,4.749270736759138
learning_rate:0.1,71,22.0,4.564016866237439
learning_rate:0.1,72,233.0,4.190315763550111
learning_rate:0.1,73,108.0,4.22956856917017
learning_rate:0.1,74,-18.0,3.85248221856139
learning_rate:0.1,75,-415.0,4.207940883151219
learning_rate:0.1,76,317.0,3.9600097830371968
learning_rate:0.1,77,128.0,3.8919062690829453
learning_rate:0.1,78,-1179.0,3.972690396372612
learning_rate:0.1,79,1237.0,3.961313263093512
learning_rate:0.1,80,-209.0,3.4989838104021738
learning_rate:0.1,81,160.0,3.757312819229631
learning_rate:0.1,82,-58.0,3.6465919738005783
learning_rate:0.1,83,-105.0,3.764334352538388
